Northern Beaches,Ku-ring-gai,Hornsby,Paramatta,Ryde,Lane Cove,Willoughby,North Sydney,Mosman,Hunters Hill,Canada Bay,Cumberland,Strathfield,Burwood,Inner West,Sydney,Woollahra,Waverley,Randwick,Bayside,Georges River,Sutherland Shire,Canterbury-Bankstorn,Fairfield,Liverpool,Campbelltown,Camden,Penrith,Blacktown,Hawkesbury,Blue Mountains,Wollondilly
Allambie Heights,East Gordon,Asquith,Baulkham Hills ,Chatswood West ,Greenwich,Artarmon,Cammeray,Athol Bay,Gladesville ,Abbotsford,Auburn,Belfield ,Burwood,Annandale ,Alexandria,Bellevue Hill,Bondi,Centennial Park ,Arncliffe,Allawah,Alfords Point,Ashbury ,Abbotsbury,Ashcroft,Airds,Bickley Vale,Agnes Banks ,Acacia Gardens,Agnes Banks ,Bell,Appin
Avalon,East Killara,Beecroft |shared with City of Parramatta Council|,Beecroft ,Denistone,Lane Cove,Artarman Industrial Area,Cremorne,Balmoral,Henley,Breakfast Point,Berala,Flemington,Burwood Heights,Ashfield,Annandale ,Darling Point,Bondi Beach,Chifley,Banksia,Beverley Park,Bangor,Belfield ,Bonnyrigg,Austral,Ambarvale,Camden,Badgerys Creek ,Arndell Park,Berambing,Blackheath,Bargo
Balgowlah Heights,East Lindfield,Berowra,Camellia,Denistone East,Lane Cove North ,Castle Cove,Cremorne Point,Balmoral Beach,Hunters Hill,Cabarita,Chester Hill ,Greenacre ,Enfield,Ashbury ,Barangaroo,Double Bay,Bondi Junction,Clovelly ,Banksmeadow,Beverly Hills ,Barden Ridge,Belmore,Bonnyrigg Heights,Badgerys Creek,Bardia,Camden South,Berkshire Park,Bidwill,Bilpin,Blaxland,Bingara Gorge
Balgowlah,East Roseville,Berowra Heights,Carlingford,Denistone West,Lane Cove West,Castlecrag,Crows Nest,Beauty Point,Huntleys Cove,Canada Bay,Fairfield ,Homebush,Enfield South,Balmain,Beaconsfield,Edgecliff,Bondi North,Coogee,Bardwell Park,Blakehurst,Bonnet Bay,Beverly Hills ,Bossley Park,Bringelly ,Blair Athol,Catherine Field,Caddens,Blackett,Blaxlands Ridge,Bullaburra,Belimbla Park
Bayview,Fox Valley,Berowra Waters,Clyde,East Ryde,Linley Point,Chatswood,Kirribilli,Bradleys Head,Huntleys Point,Chiswick,Girraween,Homebush West ,Croydon ,Balmain East,Camperdown ,Paddington ,Bronte,Coogee Beach,Bardwell Valley,Carlton ,Bundeena,Campsie,Cabramatta,Busby,Blairmount,Cobbitty,Cambridge Gardens,Blacktown,Bligh Park,Faulconbridge,Brownlow Hill
Beacon Hill,Gordon,Brooklyn,Constitution Hill,Eastwood ,Longueville,Chatswood West |shared with City of Ryde,Kurraba Point,Chinamans Beach,Woolwich,Concord,Granville ,Strathfield ,Croydon Park ,Birchgrove,Centennial Park ,Point Piper,Clovelly,Kensington,Bexley,Carss Park,Burraneer,Canterbury,Cabramatta West,Carnes Hill,Bow Bowing,Currans Hill,Cambridge Park,Bungarribee,Bowen Mountain,Glenbrook,Buxton
Belrose,Killara,Castle Hill |shared with The Hills Shire|,Dundas,Gladesville ,Northwood,East Willoughby,Lavender Bay,Chowder Bay, ,Concord West,Greystanes,Strathfield South,Strathfield ,Camperdown ,Chippendale,Rose Bay,Dover Heights,Kingsford,Bexley North,Connells Point,Caringbah,Clemton Park,Canley Heights,Cartwright,Bradbury,Elderslie,Castlereagh,Colebee,Bucketty ,Hawkesbury Heights,Camden Park
Bilgola,Lindfield,Cheltenham,Dundas Valley,Macquarie Centre,Riverview,Gore Hill ,McMahons Point,Chowder Head, ,Drummoyne,Guildford, , ,Croydon ,Darlinghurst,Vaucluse ,Queens Park,La Perouse,Botany,Hurstville,Caringbah South,Croydon Park ,Canley Vale,Casula,Campbelltown,Ellis Lane,Claremont Meadows,Dean Park,Cattai ,Hazelbrook,Cawdor
Bilgola Plateau,North Turramurra,Cherrybrook,Eastwood ,Macquarie Park,St Leonards ,Middle Cove,Milsons Point,Clifton Gardens, ,Five Dock,Guildford West, , ,Croydon Park ,Darlington,Watsons Bay,Rose Bay ,Little Bay,Botany Bay,Hurstville Grove,Como,Earlwood,Carramar,Cecil Hills,Claymore,Gledswood Hills,Colyton,Dharruk,Central Colo,Katoomba,Couridjah
Brookvale,North St Ives,Cowan,Epping,Macquarie University campus, ,Lane Cove North ,Neutral Bay,Cobblers Beach, ,Liberty Grove,Holroyd , , ,Dulwich Hill,Dawes Point,Woollahra,Tamarama,Malabar,Brighton-Le-Sands,Kingsgrove ,Cronulla,Hurlstone Park ,Cecil Park,Cecil Park ,Denham Court,Grasmere,Cranebrook,Doonside,Central Macdonald,Lapstone,Douglas Park
Church Point,North Wahroonga,Hornsby,Ermington,Marsfield, ,Naremburn,North Sydney,Edwards Beach, ,Mortlake,Homebush West , , ,Dobroyd Point,Elizabeth Bay, ,Vaucluse ,Maroubra,Carlton ,Kogarah ,Dolans Bay,Kingsgrove ,Edensor Park,Chipping Norton,Eagle Vale,Gregory Hills,Emu Heights,Eastern Creek,Clarendon,Lawson,Glenmore
Clareville,Pymble,Hornsby Heights,Granville ,Meadowbank, ,North Willoughby,St Leonards,Georges Head, ,North Strathfield,Lidcombe , , ,Enmore,Erskineville, ,Waverley,Maroubra Junction,Daceyville,Kogarah Bay,Engadine,Lakemba,Fairfield ,Denham Court ,Edmondson Park ,Harrington Park,Emu Plains,Emerton,Colo,Leura,Lakesland
Clontarf,Roseville ,Mount Colah,Harris Park,Melrose Park , ,Northbridge,Waverton,Georges Heights, ,Rhodes,Mays Hill , , ,Haberfield,Eveleigh, , ,Matraville ,Dolls Point,Kyle Bay,Grays Point,Narwee ,Fairfield East,Edmondson Park,Englorie Park,Kirkham,Erskine Park,Glendenning,Colo Heights,Linden,Maldon
Coasters Retreat,Roseville Chase,Mount Kuring-gai,Lidcombe ,North Ryde, ,Roseville ,Wollstonecraft,Hunters Bay, ,Rodd Point,Merrylands , , ,Hurlstone Park ,Forest Lodge, , ,Phillip Bay,Eastgardens,Lugarno,Greenhills Beach,Punchbowl ,Fairfield Heights,Green Valley,Eschol Park,Leppington,Glenmore Park,Glenwood,Cornwallis,Medlow Bath,Menangle
Collaroy Plateau,South Turramurra,Normanhurst,Mays Hill ,Putney, ,St Leonards , ,Little Sirius Cove, ,Russell Lea,Merrylands West, , ,Leichhardt,Glebe, , ,Port Botany,Eastlakes,Mortdale,Gymea,Riverwood ,Fairfield West,Greendale,Gilead,Mount Annan,Jamisontown,Hassall Grove,Cumberland Reach,Mount Irvine,Mount Hunter
Collaroy,St Ives,North Epping,Newington,Ryde, ,Willoughby, ,Long Bay, ,Strathfield ,Pemulwuy, , ,Lewisham,Haymarket, , ,Randwick,Hillsdale,Narwee ,Gymea Bay,Roselands,Greenfield Park,Hammondville,Glen Alpine,Narellan,Jordan Springs,Hebersham,East Kurrajong,Mount Riverview,Mowbray Park
Cottage Point,St Ives Chase,Pennant Hills,North Parramatta,Tennyson Point, , , ,Middle Head, ,Wareemba,Pendle Hill , , ,Lilyfield,Millers Point, , ,South Coogee,Kingsgrove ,Oatley,Heathcote,Wiley Park,Horsley Park,Heckenberg,Glenfield,Narellan Vale,Kemps Creek ,Huntingwood,Ebenezer,Mount Victoria,Oakdale
Cromer,Turramurra,Thornleigh,Northmead,Top Ryde, , , ,Mosman Bay, , ,Prospect , , ,Marrickville,Moore Park, , ,University of New South Wales,Kogarah ,Peakhurst,Illawong, ,Lansvale,Hinchinbrook,Ingleburn,Oran Park,Kingswood,Kellyville Ridge,Fernances,Mount Wilson,Orangeville
Curl Curl,Wahroonga ,Wahroonga |shared with Ku-ring-gai Council|,North Rocks ,West Ryde, , , ,Obelisk Bay, , ,Regents Park , , ,Mascot  ,Newtown , , , ,Kyeemagh,Peakhurst Heights,Jannali, ,Mount Pritchard ,Holsworthy,Kearns,Smeaton Grange,Kingswood Park,Kings Langley,Freemans Reach,Springwood,Pheasants Nest
Davidson,Warrawee,Waitara,Oatlands, , , , ,Parriwi Head, , ,Rookwood, , ,Newtown ,Paddington , , , ,Mascot ,Penshurst,Kangaroo Point, ,Old Guildford,Horningsea Park,Kentlyn,Spring Farm,Leonay,Kings Park,Glossodia,Sun Valley,Picton
Dee Why,West Killara,Westleigh,Old Toongabbie, , , , ,Pearl Bay, , ,Smithfield , , ,Orange Grove,Potts Point, , , ,Monterey,Ramsgate ,Kareela, ,Prairiewood,Hoxton Park,Leumeah, ,Llandilo,Lalor Park,Grose Vale,Valley Heights,Razorback
Duffys Forest,West Lindfield,West Pennant Hills,Parramatta, , , , ,Quakers Hat Bay, , ,South Granville, , ,Petersham,Pyrmont, , , ,Pagewood ,Riverwood ,Kirrawee, ,Smithfield ,Kemps Creek ,Long Point, ,Londonderry,Lethbridge Park,Grose Wold,Warrimoo,Silverdale
Elanora Heights,West Pymble, ,Pendle Hill , , , , ,Rocky Point, , ,South Wentworthville, , ,Rozelle,Redfern, , , ,Ramsgate ,Sans Souci ,Kurnell, ,St Johns Park,Leppington ,Macarthur Heights, ,Luddenham ,Marayong,Higher Macdonald,Wentworth Falls,Tahmoor
Elvina Bay, , ,Rosehill, , , , ,Shell Cove, , ,Sydney Olympic Park , , ,St Peters ,Rosebery , , , ,Ramsgate Beach,South Hurstville,Lilli Pilli, ,Villawood ,Liverpool,Macquarie Fields, ,Mount Vernon,Marsden Park,Hobartville,Winmalee,Theresa Park
Fairlight, , ,Rydalmere, , , , ,Spit Junction, , ,Toongabbie , , ,Stanmore,Rushcutters Bay, , , ,Rockdale, ,Loftus, ,Wakeley,Luddenham ,Macquarie Links, ,Mulgoa,Minchinbury,Kurmond,Woodford,The Oaks
Forestville, , ,Silverwater, , , , ,Taylors Bay, , ,Wentworthville , , ,Summer Hill,St Peters , , , ,Rosebery , ,Lucas Heights, ,Wetherill Park,Lurnea,Menangle Park, ,North St Marys,Mount Druitt,Kurrajong,Yellow Rock,Thirlmere
Frenchs Forest, , ,Sydney Olympic Park , , , , ,Taronga Zoo, , ,Westmead , , ,Sydenham,Surry Hills, , , ,Sandringham, ,Maianbar, ,Yennora ,Middleton Grange,Minto, ,Orchard Hills,Oakhurst,Kurrajong Heights, ,Warragamba
Freshwater, , ,Telopea, , , , ,The Spit, , ,Woodpark, , ,Tempe,Sydney CBD, , , ,Sans Souci , ,Menai, , ,Miller,Minto Heights, ,Oxley Park,Parklea,Kurrajong Hills, ,Werombi
Great Mackerel Beach, , ,Toongabbie , , , , ,Wyargine Point, , ,Yennora , , , ,The Rocks, , , ,Sydney Airport, ,Miranda, , ,Moorebank,Raby, ,Penrith,Plumpton,Leets Vale , ,Wilton
Ingleside, , ,Winston Hills, , , , , , , , , , , ,Ultimo, , , ,Turrella, ,Oyster Bay, , ,Mount Pritchard ,Rosemeadow, ,Regentville,Prospect ,Lower Macdonald, ,Yanderra
Killarney Heights, , ,Wentworth Point, , , , , , , , , , , ,Waterloo, , , ,Wolli Creek, ,Port Hacking, , ,Pleasure Point,Ruse, ,St Clair,Quakers Hill,Lower Portland , ,Yerranderie
Lovett Bay, , ,Wentworthville , , , , , , , , , , , ,Woolloomooloo, , , , , ,Sandy Point, , ,Prestons,St Andrews, ,St Marys ,Riverstone ,Maraylya , , 
Manly Vale, , ,Westmead , , , , , , , , , , , ,Zetland, , , , , ,Sutherland, , ,Rossmore ,St Helens Park, ,South Penrith,Ropes Crossing,Mcgraths Hill, , 
Manly, , , , , , , , , , , , , , , , , , , , ,Sylvania, , ,Sadleir,Varroville, ,Wallacia ,Rooty Hill,Mellong, , 
Mona Vale, , , , , , , , , , , , , , , , , , , , ,Sylvania Waters, , ,Voyager Point,Wedderburn, ,Werrington,Rouse Hill ,Mogo Creek, , 
Morning Bay, , , , , , , , , , , , , , , , , , , , ,Taren Point, , ,Wallacia ,Woodbine, ,Werrington County,Schofields,Mountain Lagoon, , 
Narrabeen North, , , , , , , , , , , , , , , , , , , , ,Waterfall, , ,Warwick Farm, , ,Werrington Downs,Seven Hills ,Mulgrave, , 
Narrabeen, , , , , , , , , , , , , , , , , , , , ,Woolooware, , ,Wattle Grove, , , ,Shalvey,North Richmond, , 
Narraweena, , , , , , , , , , , , , , , , , , , , ,Woronora, , ,West Hoxton, , , ,Shanes Park,Oakville, , 
Newport, , , , , , , , , , , , , , , , , , , , ,Woronora Heights, , , , , , ,Stanhope Gardens,Perrys Crossing, , 
North Balgowlah, , , , , , , , , , , , , , , , , , , , ,Yarrawarrah, , , , , , ,St Marys ,Pitt Town, , 
North Curl Curl, , , , , , , , , , , , , , , , , , , , ,Yowie Bay, , , , , , ,The Ponds,Pitt Town Bottoms, , 
North Manly, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Toongabbie ,Putty, , 
Oxford Falls, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Tregear,Richmond, , 
Palm Beach, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Vineyard ,Richmond Lowlands, , 
Queenscliff, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Whalan,Riverstone , , 
Scotland Island, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Willmot,Sackville, , 
Seaforth, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Woodcroft,Scheyville, , 
Terrey Hills, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,South Windsor, , 
Warriewood, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,St Albans, , 
Whale Beach, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Ten Mile Hollow , , 
Wheeler Heights, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Tennyson, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,The Devils Wilderness, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,The Slopes, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Upper Colo, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Upper Macdonald, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Vineyard , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Webbs Creek, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Wheeny Creek, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Wilberforce, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Windsor, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Windsor Downs, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Wisemans Ferry , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Womerah, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Wrights Creek, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Yarramundi, , 
